,uuid,timestamp_prod_start,prod_plt_temp,timestamp_prod_end
131,87e63f6a-6daa-4952-920c-271acdd0418e,2022-02-14 10:03:23.588090,75.49,2022-02-14 10:03:33.637797
132,9470068a-e97e-4346-9d85-fcfe6e713c98,2022-02-14 10:05:05.151378,74.56,2022-02-14 10:05:15.201085
133,a1595482-db09-4f09-9dd7-15edb905e076,2022-02-14 10:06:46.712402,75.65,2022-02-14 10:06:56.762109
134,2ebf0c85-4d25-44b2-b710-c8987ff2fc41,2022-02-14 10:08:28.013269,75.16,2022-02-14 10:08:38.062976
135,471dcbf4-77f2-4ccd-ac0e-04de05279ef5,2022-02-23 09:03:37.034144,71.48,2022-02-23 09:03:47.083851
136,aad7760f-c1b6-4d11-b0ca-cc1696ebcd57,2022-02-23 09:07:11.504738,72.46,2022-02-23 09:07:21.554445
137,4a40faf8-15c9-4aec-a34d-e61ccc6c2b41,2022-02-23 09:11:01.766991,72.92,2022-02-23 09:11:11.816698
138,df2a745b-0d7a-41aa-aaa2-3cddde245bbb,2022-02-23 09:12:51.734249,73.26,2022-02-23 09:13:01.783956
139,d3672b03-6f57-4270-9c11-e8401aec769a,2022-02-23 09:14:55.811526,73.33,2022-02-23 09:15:05.861233
140,c8baa5c6-34f1-4cc3-86a3-ba05f3d9e2be,2022-02-23 13:38:03.324530,74.45,2022-02-23 13:38:13.374237
141,b7966642-4079-49e1-b024-3f5806d1ac52,2022-02-24 07:42:41.645796,52.19,2022-02-24 07:42:51.695503
142,ac7fe2da-e721-419c-8e7d-4723e18f7832,2022-02-24 07:43:51.875316,53.45,2022-02-24 07:44:01.925023
143,d726d7a9-8541-4e21-8540-dc789beb8a44,2022-02-24 07:46:57.568059,54.6,2022-02-24 07:47:07.617766
144,31e221d1-43eb-4bdb-a241-f640053caeac,2022-02-24 07:48:21.613488,0.0,2022-02-24 07:48:31.663195
145,4300fbbf-e7fc-47f2-a214-f3e1dce3ef6a,2022-02-24 07:53:36.587307,0.0,2022-02-24 07:53:46.637014
146,f4850b0b-7188-4bbf-bdf0-42f532267e46,2022-02-24 07:57:10.943828,57.42,2022-02-24 07:57:20.993535
147,a9887f00-b9c2-4eab-b3ad-4572ba30d2c8,2022-02-24 08:04:21.237803,57.6,2022-02-24 08:04:31.287510
148,4b2c09c8-9e88-4119-b827-8e9554f04324,2022-02-24 08:06:02.447248,57.27,2022-02-24 08:06:12.496955
149,753ada26-3133-4780-9219-3dd625aff71f,2022-02-24 13:12:47.001505,57.97,2022-02-24 13:12:57.051212
150,ede0b412-2a44-47f6-85a3-2f5526ff8b1a,2022-02-24 13:14:27.794836,58.25,2022-02-24 13:14:37.844543
151,0e26513d-426b-4db5-8ba3-3c6cf1d0e247,2022-02-24 13:18:09.549250,57.9,2022-02-24 13:18:19.598957
152,b91b5fda-8b76-416a-9465-2d2759d932ff,2022-02-24 13:19:50.216721,60.09,2022-02-24 13:20:00.266428
153,ee0bf39b-7633-47ef-9c00-1a90c418e5d4,2022-02-24 13:22:51.601254,58.39,2022-02-24 13:23:01.650961
154,222c098f-4108-4bda-a4cb-ae7ecd3c4a23,2022-02-24 13:25:20.800144,58.75,2022-02-24 13:25:30.849851
155,3e353c6b-5d64-494e-b74f-ed7e1d963150,2022-02-24 13:27:01.757303,58.75,2022-02-24 13:27:11.807010
156,29124729-53f5-41f9-974f-d77fa36c14bd,2022-02-24 13:28:43.124372,60.52,2022-02-24 13:28:53.174079
157,e41ca39e-f9a3-4c15-b7da-738b25a25f8b,2022-02-24 13:30:25.035637,60.52,2022-02-24 13:30:35.085344
158,1904f5fc-292a-4690-b4c4-c6dce35b6e7e,2022-02-24 13:32:30.842694,60.52,2022-02-24 13:32:40.892401
159,275b6bb0-bd9d-4265-a07c-96d43d5ed125,2022-02-24 13:34:11.751884,60.52,2022-02-24 13:34:21.801591
160,51add3fa-bb63-4bfd-a906-b6077c4617f1,2022-02-24 13:35:53.751150,60.52,2022-02-24 13:36:03.800857
161,0d853800-c19b-454c-af7e-b210cc3860d8,2022-03-01 14:07:58.202602,21.48,2022-03-01 14:08:08.252309
162,1a9a9378-8e16-4963-9408-272c34b6ba91,2022-03-01 14:16:49.674252,21.51,2022-03-01 14:16:59.723959
163,32692512-bc00-4b41-9f94-beb705b120ec,2022-03-01 14:24:26.729305,21.54,2022-03-01 14:24:36.779012
164,2e72f83c-a3a3-4b46-831c-5bfdd3e53217,2022-03-01 14:41:30.237085,21.67,2022-03-01 14:41:40.286792
165,e2f12a40-2e6d-49ea-a13f-c640f8b76fb7,2022-03-01 15:01:49.226541,0.0,2022-03-01 15:01:59.276248
166,8285cd17-04a4-4579-b510-9b68473e4cca,2022-03-01 15:09:06.810661,0.0,2022-03-01 15:09:16.860368
167,de07d8d7-13ca-4b1e-8eee-2346e6c2a872,2022-03-01 15:30:19.545560,0.0,2022-03-01 15:30:29.595267
168,ad150dc3-e6d0-4640-a777-fa3a3ecddad2,2022-03-01 15:33:33.055881,0.0,2022-03-01 15:33:43.105588
169,f44b388b-c661-48c7-9adb-8c9a7a24a08f,2022-03-01 15:45:42.866891,0.0,2022-03-01 15:45:52.916598
170,ddb892c2-68f3-44a2-8b30-4d965d4670e5,2022-03-01 16:00:12.328756,0.0,2022-03-01 16:00:22.378463
171,59f70327-a396-4c0d-b53b-002c7fe86733,2022-03-01 16:06:41.375301,0.0,2022-03-01 16:06:51.425008
172,17682420-3d93-4ca4-a455-c266218009b2,2022-03-01 16:10:03.827736,21.71,2022-03-01 16:10:13.877443
173,c0def778-b974-4e47-93ce-0356774f3846,2022-03-01 16:36:26.859467,21.71,2022-03-01 16:36:36.909174
174,08eb3567-a8a1-41e2-98a1-5fd0e5b6e52e,2022-03-01 16:43:23.905884,21.67,2022-03-01 16:43:33.955591
175,7c7a4c2d-30b8-40b4-bc21-86c7b267f605,2022-03-01 17:01:29.150810,21.54,2022-03-01 17:01:39.200517
176,3b139801-b784-4acc-8c92-a97718adf992,2022-03-01 17:04:04.127686,21.54,2022-03-01 17:04:14.177393
177,3f85d596-a7aa-4a00-8ffe-bb916c32314c,2022-03-01 17:14:05.442569,21.57,2022-03-01 17:14:15.492276
178,0e388c26-43eb-4e3b-9b88-caf6abbe6a94,2022-03-01 17:19:04.081991,21.58,2022-03-01 17:19:14.131698
179,8277f182-51b7-4f56-b5c5-5de0d315ed87,2022-03-01 17:21:39.986598,21.58,2022-03-01 17:21:50.036305
180,aefce24e-c776-47ee-8dd6-2cc1c3236661,2022-03-01 17:58:16.821637,21.58,2022-03-01 17:58:26.871344
181,0ab48351-f49c-4224-984c-ac9598c2199b,2022-03-03 12:47:43.923357,21.58,2022-03-03 12:47:53.973064
182,f15eee04-97c8-4c48-a6c0-2952d4740865,2022-03-03 12:58:45.678919,0.0,2022-03-03 12:58:55.728626
183,b2f3e354-3274-4385-8a96-31e32d3143f3,2022-03-03 13:03:56.474375,0.0,2022-03-03 13:04:06.524082
184,98dc88ac-5c49-43af-8a5b-75289ffb23ae,2022-03-03 13:13:38.764165,21.58,2022-03-03 13:13:48.813872
185,e37cc8f0-9330-4e41-adf0-dfeff8534d9a,2022-03-03 15:35:04.453093,21.58,2022-03-03 15:35:14.502800
186,96b160d6-397a-47d5-ba2d-3990fc31f156,2022-03-04 15:36:44.651242,0.0,2022-03-04 15:36:54.700949
187,db93cc9b-d114-4cfa-b463-2c45256b79f0,2022-03-04 15:38:21.215654,0.0,2022-03-04 15:38:31.265361
188,113d001e-1200-44f6-9919-c1c22c7e2692,2022-03-04 15:40:17.868540,0.0,2022-03-04 15:40:27.918247
189,e1144009-8275-4922-a38c-ce98150cde90,2022-03-04 15:42:20.873921,21.58,2022-03-04 15:42:30.923628
190,3f2afa75-27c6-4b33-8ad4-438076b48e81,2022-03-04 15:44:05.602487,21.58,2022-03-04 15:44:15.652194
191,126d6fec-aeac-4f0b-9c9b-f278c88f3177,2022-03-08 14:38:12.071342,55.01,2022-03-08 14:38:22.121049
192,12cf8112-45e7-4c08-a14f-a38fdf38dba9,2022-03-14 11:18:58.201056,21.35,2022-03-14 11:19:08.250763
193,98f9be76-045e-4e1c-b47a-8f82f0c9cb1c,2022-03-14 11:21:02.420300,21.35,2022-03-14 11:21:12.470007
194,15abf071-456a-4645-b204-9e0ba958ab70,2022-03-15 08:16:58.639426,21.35,2022-03-15 08:17:08.689133
195,108b1677-53ee-44f9-b1bf-93ec4bd8aee7,2022-03-15 08:24:17.304992,21.35,2022-03-15 08:24:27.354699
196,6fd19286-26da-4302-9014-7190d79ac632,2022-03-15 08:30:58.215194,21.35,2022-03-15 08:31:08.264901
197,66b469d2-1e7f-46f4-a212-8e54d6d35c6a,2022-03-15 08:44:27.440672,21.35,2022-03-15 08:44:37.490379
198,c2d88893-c25d-4f65-97a0-0a6cb4f19355,2022-03-15 08:47:27.637174,21.35,2022-03-15 08:47:37.686881
199,c50fa2ee-1b34-4bf9-8a0a-8877db94647c,2022-03-15 08:50:26.039635,21.35,2022-03-15 08:50:36.089342
200,77a52cc1-9ca8-4c03-a56e-6302f5f060e2,2022-03-15 08:55:15.549960,64.87,2022-03-15 08:55:25.599667
201,82d1b96a-e168-41e0-8d8d-02b48bf0e8e8,2022-03-15 08:56:57.732297,0.0,2022-03-15 08:57:07.782004
202,6616fab3-23cb-4892-8e85-9b4337f5c8e3,2022-03-15 08:59:08.297232,0.0,2022-03-15 08:59:18.346939
203,5a3d6cb9-cae7-4beb-8908-152038841ccb,2022-03-15 09:01:14.705054,0.0,2022-03-15 09:01:24.754761
204,6a06f308-f254-488c-840c-a293ead06986,2022-03-15 09:02:20.373880,0.0,2022-03-15 09:02:30.423587
205,e97256f5-4c93-427b-b2db-0d5ba9d6f146,2022-03-15 09:06:45.653757,0.0,2022-03-15 09:06:55.703464
206,6376a8da-693c-4b3f-a1d0-9f751ade8dcf,2022-03-15 09:12:08.765101,64.95,2022-03-15 09:12:18.814808
207,276a765b-ff2a-4f58-b5af-853345c378d2,2022-03-15 09:14:48.637840,63.46,2022-03-15 09:14:58.687547
208,87e669a6-2c63-4277-b1a5-6be705a39b3d,2022-03-15 09:16:28.360913,64.03,2022-03-15 09:16:38.410620
209,5b238f4f-abc6-4e50-9628-2275ee20526d,2022-03-15 09:18:40.975811,63.42,2022-03-15 09:18:51.025518
210,f65cbcf9-939e-4f30-9eac-90342399bceb,2022-03-15 09:20:21.104994,63.6,2022-03-15 09:20:31.154701
211,0aa3eec3-1145-4da4-b500-839f5aae82d9,2022-03-15 09:22:01.586179,63.58,2022-03-15 09:22:11.635886
212,d4423836-c999-4341-8533-4020bfcaf7d9,2022-03-15 09:24:27.330899,63.48,2022-03-15 09:24:37.380606
213,99ff0950-aef4-4e0a-bfaa-f39849d80c55,2022-03-15 09:26:07.774019,63.89,2022-03-15 09:26:17.823726
214,66926b14-771d-494a-970e-8623f9fe7b02,2022-03-15 09:28:16.162821,64.04,2022-03-15 09:28:26.212528
